username,total_comments,sentiment_score,positive_count,neutral_count,negative_count,avg_bert_score,avg_vader_score,positive_pct,neutral_pct,negative_pct
monicsutter,1,0.8674,1,0,0,0.8531,0.9008,100.0,0.0,0.0
nottooshabbymama,2,0.8673,2,0,0,0.8558,0.8941,100.0,0.0,0.0
ttigerlilly,1,0.8672,1,0,0,0.8132,0.9931,100.0,0.0,0.0
francescalitrico,1,0.8672,1,0,0,0.9117,0.7633,100.0,0.0,0.0
happy.loud.life,1,0.867,1,0,0,0.8878,0.8185,100.0,0.0,0.0
snella_92,1,0.867,1,0,0,0.8604,0.8824,100.0,0.0,0.0
snakepitrc.de,1,0.867,1,0,0,0.8237,0.9682,100.0,0.0,0.0
thestylishfreelancer,1,0.867,1,0,0,0.8324,0.9479,100.0,0.0,0.0
lasartoriadeiconfetti,1,0.8669,1,0,0,0.8356,0.9399,100.0,0.0,0.0
coupleinthekitchen,1,0.8669,1,0,0,0.8747,0.8488,100.0,0.0,0.0
dollygirma,1,0.8669,1,0,0,0.8418,0.9254,100.0,0.0,0.0
noee_glez,1,0.8669,1,0,0,0.8261,0.9622,100.0,0.0,0.0
marynaaksenov,2,0.8669,2,0,0,0.8268,0.9607,100.0,0.0,0.0
davidortiz,1,0.8668,1,0,0,0.8858,0.8224,100.0,0.0,0.0
blog4over40,1,0.8668,1,0,0,0.8433,0.9218,100.0,0.0,0.0
hannasavannah_,1,0.8668,1,0,0,0.8149,0.9878,100.0,0.0,0.0
anashtayim,1,0.8667,1,0,0,0.8286,0.9557,100.0,0.0,0.0
habesha_hottie,1,0.8667,1,0,0,0.852,0.901,100.0,0.0,0.0
ourvintagefarmhouse,1,0.8666,1,0,0,0.8437,0.9199,100.0,0.0,0.0
beroad.it,1,0.8666,1,0,0,0.8518,0.901,100.0,0.0,0.0
tonjeoglinnea,1,0.8665,1,0,0,0.8356,0.9387,100.0,0.0,0.0
yoadrienne48,2,0.8664,2,0,0,0.8336,0.9431,100.0,0.0,0.0
a.l.ifestyle,1,0.8664,1,0,0,0.8358,0.9377,100.0,0.0,0.0
featherdownsoul,1,0.8664,1,0,0,0.8869,0.8185,100.0,0.0,0.0
vstylist,1,0.8664,1,0,0,0.825,0.963,100.0,0.0,0.0
aleksandra.fournier,2,0.8663,2,0,0,0.8309,0.9489,100.0,0.0,0.0
thoniabankz,1,0.8662,1,0,0,0.8327,0.9444,100.0,0.0,0.0
thecheapsubscriber,1,0.8662,1,0,0,0.8146,0.9867,100.0,0.0,0.0
gcastillo13,1,0.8662,1,0,0,0.8377,0.9327,100.0,0.0,0.0
being.agnes,1,0.866,1,0,0,0.8411,0.9241,100.0,0.0,0.0
c_a_r_m_e_n_,1,0.866,1,0,0,0.8547,0.8922,100.0,0.0,0.0
leneserck,1,0.866,1,0,0,0.8205,0.9722,100.0,0.0,0.0
hi_i_am_steph,1,0.866,1,0,0,0.8283,0.9541,100.0,0.0,0.0
olivier_dujard1,1,0.866,1,0,0,0.8411,0.9241,100.0,0.0,0.0
veronicazaccagnini,1,0.866,1,0,0,0.8411,0.9241,100.0,0.0,0.0
motiankari,2,0.866,2,0,0,0.8227,0.9672,100.0,0.0,0.0
thelucyedit,2,0.8659,2,0,0,0.8334,0.9418,100.0,0.0,0.0
lusciousnancy,1,0.8659,1,0,0,0.8418,0.9221,100.0,0.0,0.0
the_bambyleabrood,3,0.8659,3,0,0,0.8414,0.9229,100.0,0.0,0.0
federica.scaduto,2,0.8658,2,0,0,0.8213,0.9695,100.0,0.0,0.0
georgiarachelhathaway,1,0.8657,1,0,0,0.8452,0.9135,100.0,0.0,0.0
francescadallape,1,0.8657,1,0,0,0.8673,0.8621,100.0,0.0,0.0
sebibebi,1,0.8657,1,0,0,0.8475,0.9083,100.0,0.0,0.0
kylerstevenfisher,1,0.8656,1,0,0,0.9066,0.77,100.0,0.0,0.0
elyseneilerman,1,0.8655,1,0,0,0.8433,0.9174,100.0,0.0,0.0
stushigalstyle,2,0.8654,2,0,0,0.8568,0.8856,100.0,0.0,0.0
cinnamoniboni,1,0.8653,1,0,0,0.8315,0.9442,100.0,0.0,0.0
mialauiversen,2,0.8653,2,0,0,0.8302,0.9472,100.0,0.0,0.0
capitalcouple,1,0.8653,1,0,0,0.8173,0.9773,100.0,0.0,0.0
oliwiapakosz,1,0.8653,1,0,0,0.8596,0.8787,100.0,0.0,0.0
cookielicious_nz,1,0.8652,1,0,0,0.8878,0.8125,100.0,0.0,0.0
modernmoments,1,0.8652,1,0,0,0.9125,0.7547,100.0,0.0,0.0
iam_usamaa,1,0.8652,1,0,0,0.8605,0.8762,100.0,0.0,0.0
chefdphillips,2,0.8652,2,0,0,0.8622,0.8722,100.0,0.0,0.0
nosinmitaper,1,0.8651,1,0,0,0.8853,0.818,100.0,0.0,0.0
lucatalotta,1,0.865,1,0,0,0.8292,0.9486,100.0,0.0,0.0
leviclarkin,1,0.865,1,0,0,0.8561,0.8859,100.0,0.0,0.0
the_indigo_house,2,0.865,2,0,0,0.8237,0.9614,100.0,0.0,0.0
freimonica,1,0.8648,1,0,0,0.8289,0.9487,100.0,0.0,0.0
jennyg2bfit,1,0.8647,1,0,0,0.8274,0.9518,100.0,0.0,0.0
alisaueno,1,0.8647,1,0,0,0.8233,0.9613,100.0,0.0,0.0
raveready,1,0.8646,1,0,0,0.823,0.9616,100.0,0.0,0.0
and_then_there_were_6,1,0.8646,1,0,0,0.8187,0.9716,100.0,0.0,0.0
whatshaute,1,0.8645,1,0,0,0.8842,0.8185,100.0,0.0,0.0
veggiemagazine,1,0.8645,1,0,0,0.8842,0.8185,100.0,0.0,0.0
stephtaylorjackson,1,0.8645,1,0,0,0.8842,0.8185,100.0,0.0,0.0
madamegandhi,1,0.8645,1,0,0,0.8375,0.9276,100.0,0.0,0.0
twosisterstoystyle,1,0.8645,1,0,0,0.8842,0.8185,100.0,0.0,0.0
ricominciodaquattro,1,0.8644,1,0,0,0.8249,0.9566,100.0,0.0,0.0
lyonnaisementvotre,1,0.8644,1,0,0,0.8307,0.9429,100.0,0.0,0.0
geekyglamorous,1,0.8644,1,0,0,0.8468,0.9054,100.0,0.0,0.0
sheena.james_,2,0.8643,2,0,0,0.8311,0.9417,100.0,0.0,0.0
lippie143,2,0.8643,2,0,0,0.8608,0.8724,100.0,0.0,0.0
adrianavolpereal,1,0.8643,1,0,0,0.8211,0.965,100.0,0.0,0.0
iriskristen,2,0.8643,2,0,0,0.884,0.8182,100.0,0.0,0.0
therealmissblunt,1,0.8642,1,0,0,0.8443,0.9106,100.0,0.0,0.0
mossbanklane,1,0.8642,1,0,0,0.8637,0.8655,100.0,0.0,0.0
amychilds1990,1,0.8641,1,0,0,0.842,0.9158,100.0,0.0,0.0
zachdillon,1,0.8641,1,0,0,0.8107,0.9886,100.0,0.0,0.0
withloveandstyle,1,0.864,1,0,0,0.8179,0.9714,100.0,0.0,0.0
firesmaahjerter,1,0.864,1,0,0,0.8198,0.9672,100.0,0.0,0.0
shannonroseblog,1,0.864,1,0,0,0.8331,0.936,100.0,0.0,0.0
slimmingworld_katylouise,1,0.8639,1,0,0,0.8336,0.9345,100.0,0.0,0.0
mini_travellers,1,0.8638,1,0,0,0.8256,0.953,100.0,0.0,0.0
lindseyblogs,2,0.8637,2,0,0,0.862,0.8674,100.0,0.0,0.0
ellahopem,1,0.8637,1,0,0,0.8588,0.8753,100.0,0.0,0.0
challengesophie,1,0.8637,1,0,0,0.8574,0.8784,100.0,0.0,0.0
tim_vs_food,1,0.8635,1,0,0,0.8416,0.9145,100.0,0.0,0.0
missjazminad,1,0.8634,1,0,0,0.8623,0.8659,100.0,0.0,0.0
klaraenanderr,1,0.8634,1,0,0,0.8337,0.9327,100.0,0.0,0.0
frankyandbrassie,1,0.8633,1,0,0,0.8381,0.9221,100.0,0.0,0.0
traveltheworldfamily,1,0.8632,1,0,0,0.8205,0.9627,100.0,0.0,0.0
imshyragb,1,0.8631,1,0,0,0.914,0.7443,100.0,0.0,0.0
laurenlefevre,1,0.8631,1,0,0,0.8086,0.9904,100.0,0.0,0.0
theopenjournal,1,0.8631,1,0,0,0.8118,0.9828,100.0,0.0,0.0
bianca_beatz5150,2,0.863,2,0,0,0.8767,0.8309,100.0,0.0,0.0
missvanessapagan,1,0.8629,1,0,0,0.8872,0.8062,100.0,0.0,0.0
tranganhdong,1,0.8629,1,0,0,0.8203,0.9623,100.0,0.0,0.0
iharvera,1,0.8629,1,0,0,0.8503,0.8922,100.0,0.0,0.0
the_optimisticgirl,1,0.8629,1,0,0,0.8754,0.8339,100.0,0.0,0.0
doreencorrigan,1,0.8628,1,0,0,0.875,0.8345,100.0,0.0,0.0
leopaidosbe,1,0.8628,1,0,0,0.8105,0.9847,100.0,0.0,0.0
juliatoivola,1,0.8628,1,0,0,0.8157,0.9726,100.0,0.0,0.0
moalmada,2,0.8628,2,0,0,0.8464,0.901,100.0,0.0,0.0
embracingfifty,1,0.8627,1,0,0,0.8818,0.818,100.0,0.0,0.0
girlsgottaeatpodcast,1,0.8627,1,0,0,0.8816,0.8185,100.0,0.0,0.0
luckyplot13,2,0.8627,2,0,0,0.8515,0.8889,100.0,0.0,0.0
jppaige,1,0.8627,1,0,0,0.8207,0.9608,100.0,0.0,0.0
atter.cliffe,3,0.8626,3,0,0,0.8349,0.9273,100.0,0.0,0.0
ericasworld_,1,0.8626,1,0,0,0.8514,0.8889,100.0,0.0,0.0
tictacyummy,1,0.8625,1,0,0,0.8105,0.9839,100.0,0.0,0.0
fresh_delivery,1,0.8625,1,0,0,0.846,0.901,100.0,0.0,0.0
donslens,1,0.8625,1,0,0,0.8814,0.8185,100.0,0.0,0.0
colbymelvin,1,0.8624,1,0,0,0.8742,0.8348,100.0,0.0,0.0
emilyy_fitness,1,0.8624,1,0,0,0.868,0.8494,100.0,0.0,0.0
